feat_r3_score_numeric,feat_low_claim_specialty,feat_web_says_not_found_and_not_empty,feat_r3_high_confidence,feat_ev_pv_nf_org_n,feat_ev_pv_nf_prov_n,feat_ev_pv_nf_agg_n,feat_ev_pv_f_org_n,feat_ev_pv_f_prov_n,feat_ev_pv_f_agg_n,feat_ev_ov_nf_org_n,feat_ev_ov_nf_prov_n,feat_ev_ov_nf_agg_n,feat_ev_ov_f_org_n,feat_ev_ov_f_prov_n,feat_ev_ov_f_agg_n,feat_ev_total_found,feat_ev_total_not_found,feat_ev_total,feat_ev_found_ratio,feat_pv_found_any,feat_ov_found_any,feat_pv_notfound_any,feat_ov_notfound_any,feat_both_views_found,feat_only_pv_found,feat_only_ov_found,feat_neither_view_found,feat_source_diversity,feat_state_high_risk,feat_has_credentials,feat_npi_changed_by_r3,feat_npi_deactivated,feat_r3_suggests_name_change,feat_cred_is_md_do,feat_cred_is_midlevel,feat_has_pio_evidence,feat_pio_yes,feat_pio_no,feat_org_is_hospital,feat_org_is_missing,feat_claims_n,feat_claims_distinct_orgs,feat_claims_distinct_addrs,feat_claims_days_since,feat_claims_zip_match,feat_claims_street_zip_match,feat_claims_recent_zip_match,feat_claims_recent_street_zip,feat_claims_zip_but_no_match,feat_claims_log1p_n,feat_claims_high_volume,feat_claims_recent_active,feat_claims_no_match_high_n,feat_claims_strong_corroborate,feat_claims_strong_contradict,feat_r3acc_x_claims_contradict,feat_r3ina_x_claims_corroborate,target
88.338192419825,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,6,1,7,0.8571428571428571,1,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1944,1,1,29.0,1,1,1,1,0,7.573017256052546,1,1,0,1,0,0,0,False
0.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
0.0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,False
84.2105263157894,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,3,3,6,0.5,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9999.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,True
0.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,30,1,1,57.0,0,0,0,0,1,3.4339872044851463,1,1,1,0,1,0,0,False
0.0,1,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,7,7,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1238,4,4,36.0,0,0,0,0,1,7.122059881629142,1,1,1,0,1,0,0,False
0.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,35,6,6,53.0,0,0,0,0,1,3.58351893845611,1,1,1,0,1,0,0,True
0.0,0,0,0,6,0,1,0,0,0,1,0,0,2,0,0,2,8,10,0.2,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,210,3,2,29.0,1,1,1,1,0,5.351858133476067,1,1,0,1,0,0,1,True
13.3333333333333,1,0,0,0,3,2,0,0,2,0,2,0,0,0,0,2,7,9,0.2222222222222222,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,634,5,3,16.0,0,0,0,0,1,6.453624998892692,1,1,1,0,1,0,0,False
0.0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,6,6,0.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,93.0,0,0,0,0,0,0.6931471805599453,0,1,0,0,0,0,0,False
