Row ID,OrigNPI,R3,CallQC,State,Specialty,Final_R3_Score_Address,p_r3_wrong,p_call_conclusive,both_conclusive,y_r3_wrong,shap_a_feat_r3_score_numeric,shap_a_feat_low_claim_specialty,shap_a_feat_web_says_not_found_and_not_empty,shap_a_feat_r3_high_confidence,shap_a_feat_ev_pv_nf_org_n,shap_a_feat_ev_pv_nf_prov_n,shap_a_feat_ev_pv_nf_agg_n,shap_a_feat_ev_pv_f_org_n,shap_a_feat_ev_pv_f_prov_n,shap_a_feat_ev_pv_f_agg_n,shap_a_feat_ev_ov_nf_org_n,shap_a_feat_ev_ov_nf_prov_n,shap_a_feat_ev_ov_nf_agg_n,shap_a_feat_ev_ov_f_org_n,shap_a_feat_ev_ov_f_prov_n,shap_a_feat_ev_ov_f_agg_n,shap_a_feat_ev_total_found,shap_a_feat_ev_total_not_found,shap_a_feat_ev_total,shap_a_feat_ev_found_ratio,shap_a_feat_pv_found_any,shap_a_feat_ov_found_any,shap_a_feat_pv_notfound_any,shap_a_feat_ov_notfound_any,shap_a_feat_both_views_found,shap_a_feat_only_pv_found,shap_a_feat_only_ov_found,shap_a_feat_neither_view_found,shap_a_feat_source_diversity,shap_a_feat_state_high_risk,shap_a_feat_has_credentials,shap_a_feat_npi_deactivated,shap_a_feat_r3_suggests_name_change,shap_a_feat_cred_is_md_do,shap_a_feat_cred_is_midlevel,shap_a_feat_has_pio_evidence,shap_a_feat_pio_yes,shap_a_feat_pio_no,shap_a_feat_org_is_hospital,shap_a_feat_org_is_missing,shap_a_feat_claims_n,shap_a_feat_claims_distinct_orgs,shap_a_feat_claims_distinct_addrs,shap_a_feat_claims_days_since,shap_a_feat_claims_zip_match,shap_a_feat_claims_street_zip_match,shap_a_feat_claims_recent_zip_match,shap_a_feat_claims_recent_street_zip,shap_a_feat_claims_zip_but_no_match,shap_a_feat_claims_log1p_n,shap_a_feat_claims_high_volume,shap_a_feat_claims_recent_active,shap_a_feat_claims_no_match_high_n,shap_a_feat_claims_strong_corroborate,shap_a_feat_claims_strong_contradict,shap_a_feat_r3acc_x_claims_contradict,shap_a_feat_r3ina_x_claims_corroborate,shap_a_feat_nppes_found,shap_a_feat_nppes_deactivated,shap_a_feat_nppes_days_since_update,shap_a_feat_nppes_practice_ne_mailing,shap_a_feat_nppes_num_locations,shap_a_feat_nppes_multi_location,shap_a_feat_nppes_practice_addr_match_tier,shap_a_feat_nppes_any_location_match_tier,shap_a_feat_is_hospital_affiliated_specialty,shap_a_feat_hosp_x_r3_inaccurate,shap_a_feat_hosp_x_r3_accurate,shap_a_feat_hosp_x_web_silent,shap_a_feat_hosp_x_org_linked,shap_a_feat_stale_is_checked,shap_a_feat_stale_days_since_claim,shap_a_feat_stale_days_since_nppes,shap_a_feat_stale_min_days,shap_a_feat_stale_over_90,shap_a_feat_stale_moved_elsewhere,shap_a_feat_stale_flag_fresh,shap_a_feat_stale_flag_stale_suspect,shap_a_feat_stale_flag_confirmed_stale,shap_a_feat_stale_flag_unknown,shap_a_feat_cms_dc_found,shap_a_feat_cms_num_practice_locations,shap_a_feat_cms_num_states,shap_a_feat_cms_num_org_affiliations,shap_a_feat_cms_max_group_size,shap_a_feat_cms_telehealth,shap_a_feat_cms_is_multisite,shap_a_feat_cms_any_location_match_tier,shap_a_feat_cms_matches_any_location,shap_a_feat_cms_multisite_no_match,shap_a_feat_cms_match_x_r3ina,shap_a_feat_hosp_x_cms_multisite,top_reasons_r3_wrong,decision_label,decision_reason,call_resolves,final_label
2023,1083291587.0,INACCURATE,ACCURATE,MI,PEDIATRICS,0.0,0.0776066504146911,0.9994228782137584,True,1.0,-0.113083680203697,0.0141451300454448,0.0037969566702268,0.0,-0.0258897709918202,-0.0020299079200709,0.042559120744293,-0.0002713279786383,-0.003386388121196,-0.0007059683086749,0.0109617743481485,0.0,0.000629599384935,0.0154357569422627,0.0,0.0004517194069721,-0.0033665107180059,-0.0413640999973249,0.0369177938371631,0.0140200297620222,0.0,-0.0034555688156893,0.0,0.0,0.0021633452968237,-0.0068506914804847,0.0,-0.0001374812959242,-0.0059702485049172,0.7726598178603807,0.0,0.0,0.0,0.0200884755645323,-0.0024045341180125,0.0062530059137331,0.0,0.0,-0.0026344911059974,0.0,-1.0366773294905138,-0.4318795935201379,-0.057719879415664,-0.1256996694583014,-0.0124515472144437,-0.0136736026843852,0.0,-0.0028358685270712,0.0018851708830269,-0.0019328350437608,0.0,0.0,-0.0030929898949945,0.0,-0.003655327421604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228825657217548,-0.0026631412414846,0.0,-0.0019293423037933,0.0232883673883614,-0.0099070644760819,-0.004285893756114,0.0,-0.0002594131194507,0.0,-0.0003746395665666,0.000497738103729,0.0,0.0,-0.0131549923143021,0.0001605662229211,-0.0170194852628906,-0.0078636972497378,0.0022112158158659,0.0189339428487764,0.0030946335161864,0.0026789072755675,-0.0225392650267595,-0.0002101453334758,0.0090165190229845,-0.0038555051641969,0.0005267349799467,feat_claims_n(-1.04→right) | feat_state_high_risk(+0.77→wrong) | feat_claims_distinct_orgs(-0.43→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
2308,1174783336.0,ACCURATE,INACCURATE,NY,INTERVENTIONAL CARDIOLOGY,96.078431372549,0.072468103555701,0.9901760652847756,True,1.0,-0.0249058593903377,0.001571370904887,0.019717797383196,0.0,-0.0427650328272187,-0.0242353523931049,0.0543688998783693,-0.0089728089737459,-0.0118578678049103,0.0036479597295007,0.0080239967680132,0.0001638294924123,0.0083560075996721,-0.0474966139421367,0.0002654854047986,-0.0026390094871895,-0.000296203201257,0.0123440718040738,-0.0041628797104205,-0.0559097854129981,0.0045572290825857,-0.0576496724214702,0.0032500262615903,0.0056349091743807,-0.0239791546148711,0.013088982511953,0.0001115913871727,0.0,-0.0910460510767177,-0.3141476303341405,0.0,0.0,0.0,-0.143130171689836,-0.0159058686538716,0.0016877848101553,0.0,0.0,0.0500852321601542,0.0,-0.6130370878621526,-0.1142449682066673,0.0257024667556756,-0.0473381896461386,0.0184045453363523,0.0673429315512197,-0.0025801977132964,0.0286876561909308,-0.0201390994982938,-0.0133559031009622,0.0001630765424167,0.0,0.0118861624842569,-0.008683960012131,-0.0005629913193604,0.0001729351889668,-0.0196066443971431,0.1005701859877105,0.0,0.1289150841974148,-9.1168716184025e-05,-0.0004669569986691,-0.0001799375720101,0.0,0.0,0.0172500534784144,0.0031155420220503,0.1581409280978014,0.0021903962739642,0.0300441447723401,0.0,-0.0620882657829123,0.0,0.002269548543056,0.0,-0.0031026805707098,-0.0455830668376528,0.0,-0.0002600303897892,-0.0144015673995152,-0.0052799369138292,-0.0152866278686823,-0.0162937884810188,0.0024360448551056,0.0928258227522278,-0.0741659556776333,0.0011533411411086,-0.0393786836033091,0.0012457224211886,0.052629727251828,-0.035099223876287,0.0076346721972321,feat_claims_n(-0.61→right) | feat_state_high_risk(-0.31→right) | feat_hosp_x_r3_accurate(+0.16→wrong),ACCURATE,RETAIN_R3_LOW_PWRONG,False,ACCURATE
1765,1184602682.0,ACCURATE,ACCURATE,NV,INTERNAL MEDICINE,100.0,0.0970367293630534,0.9993987111574408,True,0.0,0.1695166267212149,0.0016328155629352,0.0047989628736648,0.0,-0.0237285991547481,0.0012251995498659,-0.0434962913392235,-0.0008517147765717,-0.024607402749025,-0.0293900468927407,-0.0072501502330787,0.0,-0.0003352904192572,-0.0117925985560978,0.0,0.0001674421307006,-0.0011450809435442,-0.0056578149198715,-0.0005081598591639,-0.0904410523685541,0.0,-0.0875710849337833,0.0,0.0,-0.016684395731422,0.0189211585918454,0.0,0.0008272781041922,-0.0009082838915442,-0.190360285918797,0.0,0.0,0.0,-0.0105617549864873,-0.0180806570898587,0.01257183836732,0.0,0.0,-0.0017019655622777,0.0,-0.1810128674487273,-0.0940086789494812,-0.0164942828290045,-0.2102748367562019,-0.001205191857078,-0.0227844175800054,0.0,-0.001886583115674,-0.0036349677113357,-0.0007389444053871,0.0,0.0,-0.0006226106358266,0.0,0.0011411511644194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.820472836388478e-05,0.0035184846290495,0.0,0.0003152442041943,0.1007438967350306,0.0318405281481351,-0.0341647982532301,0.0,-0.0009047818748267,0.0,0.0219378633378418,0.0045099291865785,0.0,0.0,-0.0199291889025732,-0.0002150511930125,-0.0204686104682112,-0.0202908360555686,-0.0104408094601589,0.0380400921538177,0.0022123110443987,0.000351062517601,0.0819087679566636,0.0042458338186126,0.0140929124505431,-0.024920264550377,-0.000627535058649,feat_claims_days_since(-0.21→right) | feat_state_high_risk(-0.19→right) | feat_claims_n(-0.18→right),ACCURATE,RETAIN_R3_LOW_PWRONG,False,ACCURATE
113,1205425204.0,INACCURATE,INACCURATE,NY,NP - FAMILY HEALTH,0.0,0.0973031414850184,0.99185240739934,True,0.0,-0.1347620449131612,0.0078941628889147,0.003147691603698,0.0,-0.0340996320321412,-0.0203234008612798,-0.0014537671658858,-0.002820346468428,-0.0036489160358721,-0.0002928563505261,-0.0321109217552242,0.0,0.0013842981784107,-0.001746994566924,0.0,-0.0033963872726767,-0.0014033174349234,0.0311691629672292,-0.0270295877169763,-0.002444999272221,-0.0062264000199078,-0.0012458594035987,0.0,-0.0011677772922987,-0.0016967576116225,-0.0018316126305553,0.0,0.0,0.0023049130733572,-0.1699427058713191,0.0,0.0,0.0,-0.0022664784737909,0.0013219938783771,0.0134408328715163,0.0,0.0,0.0407872319057615,0.0,-0.4719541056849485,-0.0646477798915793,0.0140823318940631,0.0127609416121598,0.0726191225239987,-0.0008907980553576,0.0037234440107165,-0.0006662986830173,0.0050250933290334,-0.0569933168604945,-0.0006734178938244,0.0,0.0025435700825174,0.0,0.0020055821241845,0.0,-0.0035009728496124,0.1929253641763919,0.0,0.0,0.0,0.0708807678192602,0.0,0.0,0.0,-0.0076389842933257,-0.0014580258677618,-0.0012993303179199,0.0030137378052116,-0.0052429879290331,-0.0055755493575254,-0.0235585627517238,0.0,-0.0058665519585331,0.0,-0.000795651090135,0.0,0.0,0.0,-0.0001844561664072,-0.0050141547275471,-0.0817361773351916,-0.0153156183943579,0.0009320026619858,0.0539975162926366,0.0048704832035954,0.0010112407276916,-0.0309244460383472,-0.0004357191471541,0.0008734427146204,-0.0179499944980068,-0.0072781773824955,feat_claims_n(-0.47→right) | feat_nppes_found(+0.19→wrong) | feat_state_high_risk(-0.17→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
2049,1265958821.0,INACCURATE,INACCURATE,OH,CERTIFIED REGISTERED NURSE ANESTHETIST,0.0,0.0759617073657051,0.9988906422767556,True,0.0,-0.2131977905531322,0.0018804840885028,-0.146035085391623,0.0,-0.04513141454407,-0.0010638605684085,-0.0477472430155446,0.0,-0.0099783785944907,-0.01511533625139,0.0010644537705524,-0.000659582522633,0.0012119611887578,0.0035333791825409,0.0,-7.07111965407001e-05,-0.0094794390950684,-0.1322381845611221,-0.0579273348218625,-0.002256881894587,-0.0188174985510878,-0.0003532706644843,-0.0014099728822538,0.0003290217504233,0.0044779514696451,-0.0039753204916595,0.0,6.722834387849766e-05,-0.0028913562332883,-0.1870745987783759,0.0,0.0,0.0,-0.0292959558627805,-0.0097952667679268,-0.0064613862993653,0.0,0.0,-0.0203956379622231,0.0,-0.2071607544109265,-0.0223387107092127,0.0358610581998952,0.0360186159483052,-0.0219521654009363,-0.0025740651907024,-0.0057106768695586,0.0,-0.009822805824213,0.0141461679961888,0.0003159292193902,0.0,-0.0030697480979957,-0.0007647853960104,0.0,0.0,-0.0018295365520733,0.1488146880357972,0.0,0.0738351014611801,0.0,0.0242065845530873,0.0,0.0,0.0,0.0057679415346455,0.0150700640693881,-0.0003742913127931,0.0057712950795391,-0.0038512936610854,0.0,-0.0414831323856331,0.0,-0.0088948291198326,0.0,-0.0015345315741986,0.0,0.0,0.0,-0.021695899203959,0.000527725763481,-0.0343458870874347,-0.0379549625031864,-0.024528685342081,0.1394016971128659,0.0140790979288215,0.0,-0.0275021167098966,-0.0004386137278154,-0.0471997293889505,-0.0448781300554707,0.0,feat_r3_score_numeric(-0.21→right) | feat_claims_n(-0.21→right) | feat_state_high_risk(-0.19→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
1265,1427525690.0,INACCURATE,INACCURATE,CO,"BEHAVIORAL HEALTH & SOCIAL SERVICE PROVIDERS, BEHAVIOR ANALYST",0.0,0.1278941430907365,0.4128099733492626,True,0.0,-0.1414929342578571,-0.0234423559168644,0.0050597068535156,0.0,0.0388095589863536,0.0099460006779017,-0.0072810434707876,-0.0004813466173391,-0.0015897935337321,0.000682221237774,-0.0227382670291045,0.0,0.0006606405329344,0.002268782664323,0.0,0.0002639798946517,-0.0012511922608224,-0.0276298449911996,-0.0544629139249917,0.0134967624716952,0.0,-0.0036937493076542,0.0,0.0,0.0005527462143821,-0.0200800920960174,0.0,-0.0001969510012335,-0.0004575115760253,-0.1386490483304758,0.0,0.0,0.0,-0.0198426566390169,-0.003126696000472,-0.0118950228708588,0.0,0.0,-0.0020101862233445,0.0,-0.0151509477020302,-0.0145489213925008,-0.0013014367356545,-0.0345016114478976,0.0671347939890048,0.1591196356161338,0.0,0.0338750536304052,-0.0019213152834618,-0.0030252383466188,0.0,0.0,0.0002572888409651,0.0,0.0009103190607528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0122595654291785,0.0012498144611207,0.0,0.0006792320176335,-0.0120128857327731,-0.0180882634640504,-0.0073946016983036,0.0,-0.0009143914123434,0.0,-0.000692510392313,0.0005724302366188,0.0,0.0,-0.0126151466568119,-0.0011399443073659,-0.0533720950209222,-0.0289230502055411,-0.0021071140703912,0.018947734113474,0.007761788013258,0.0016874667622249,-0.0807836380423188,-0.00148006193307,0.0099324712108665,-0.0062340919843603,0.0105577371956692,feat_claims_street_zip_match(+0.16→wrong) | feat_r3_score_numeric(-0.14→right) | feat_state_high_risk(-0.14→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
1952,1558979682.0,INACCURATE,INACCURATE,NE,NURSE PRACTITIONER - GERONTOLOGY,0.0,0.0775767243048321,0.9718605510801062,True,0.0,-0.1724755657263293,0.0031394703151046,0.0325131616478557,0.0,-0.0811069588437947,0.0058979715877512,-0.0146610775336444,0.0,-0.0110888191313701,-0.0107947995966053,0.0005641070126159,0.0053884720952689,0.0118615222230555,0.004377140785778,0.0,-8.524759925456256e-05,-0.0068094465188396,-0.1188574602297323,-0.0763921414978402,-0.0248508677325174,-0.0242153508896126,-0.0005354270471662,-0.0006156219668594,-0.0008094427230666,0.0059320275298091,-0.0072269360207749,0.0,-0.0002291500334233,-0.0022740438542475,-0.1700320915182366,0.0,0.0,0.0,-0.0063713667482822,0.0340080087190936,-0.0055133003817145,0.0,0.0,-0.0252665355793867,0.0,-0.2199709036679406,-0.0397242325497502,-0.0091865959622151,0.1406668880258424,-0.0282758202597801,-0.00262711679573,0.0011674524819371,0.0,-0.0119981940973842,-0.0142386502032107,0.0004481401705194,0.0,-0.0011944072944921,-0.0006386606798892,0.0,0.0,-0.0016284913560019,-0.0042024247750024,0.0,-0.001321424153609,0.0,-0.0007808575662286,0.0,0.0,0.0,0.0057716291145116,0.0062321745769496,-0.000453793662058,0.0025186569992713,0.0015308067160249,0.0,-0.0444061183194993,0.0,-0.0107862734680444,0.0,-0.0042887209933236,0.0,0.0,0.0,-0.0213284529053275,0.0009021838487009,-0.0086542112521153,-0.01186934823044,0.0047033872507177,-0.025641940596859,0.0325368616015168,0.0,-0.0362147897320173,-0.0007232137082358,0.0210636950028162,-0.0429664902724639,0.0,feat_claims_n(-0.22→right) | feat_r3_score_numeric(-0.17→right) | feat_state_high_risk(-0.17→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
1884,1598317919.0,INCONCLUSIVE,ACCURATE,ID,SOCIAL WORKER - CLINICAL,-1.0,,0.9823973217270248,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A - Not in Model A,INCONCLUSIVE,MODEL_INCONCLUSIVE_NOT_CALLED,False,INCONCLUSIVE
84,1699857854.0,INACCURATE,INACCURATE,NY,SURGERY - VASCULAR SURGERY,0.0,0.0330056587684738,0.9993060734597118,True,0.0,-0.3085343249486877,0.0052711328092135,0.0094649122155765,0.0,-0.0684914866751102,-0.0404794485738107,0.0555926732457359,-0.0017238898886208,-0.0071542058916445,-0.0102453551596793,-0.0330582187866853,0.0007482129892804,0.000334920030303,-0.0005314450089379,0.0,0.0,-0.0007726635529018,0.02384506724178,-0.0127835606897261,0.0612449837810832,-0.014377697346346,-0.0005572447765952,0.0,0.0013857126236872,-0.0007304891420211,-0.0123158171667294,0.0006635364656576,0.0,-0.0029517110113827,-0.38539390346215,-0.0053237403362715,0.0,0.0,-0.0297969872689977,-0.0041693342676737,0.0076658187640168,0.0,0.0,0.0614643430176831,0.0,-0.3691883829175313,-0.0579335049223674,-0.0153158681557624,-0.2701482323250264,-0.0394207263762112,-0.0071220490304289,-0.0072717872184545,0.0008761863020871,-0.0073936822846459,-0.0748602259248295,-0.0004764147025557,0.0,-0.0152178543849871,-5.032724562069336e-05,-0.0026151679906494,0.0,-0.0008018594164878,-0.0015362154869623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030393620109308,-0.0007417352776825,-0.0086903574929814,-0.00048929714975,0.0061664499812552,-0.0167866096210013,-0.0384281589222628,0.0,-0.0086894556808217,0.0,-0.0030433991064379,0.0,0.0,0.0,0.0003376213124752,0.0213453479987438,-0.004634386114576,-0.0042518287258075,-0.0151250940492989,-0.1759571657941733,0.0340704475255192,-0.0015586784944718,-0.0539987056362036,-0.0005271815621343,0.0019111229295139,-0.0335599079763626,-0.0005855479805867,feat_state_high_risk(-0.39→right) | feat_claims_n(-0.37→right) | feat_r3_score_numeric(-0.31→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
374,1700229655.0,INACCURATE,INACCURATE,CO,"ALLOPATHIC & OSTEOPATHIC PHYSICIANS, PSYCHIATRY & NEUROLOGY, PSYCHIATRY",0.0,0.0670115297944932,0.8422952494077408,True,0.0,-0.2187738420731364,-0.0283119753126361,0.0065102852100539,0.0,-0.0396757852890787,-5.533438192201501e-05,0.0188218607107154,-0.000480371793671,-0.0019705454024306,0.0004872588986873,0.0473171684141717,0.0,-0.0003542761009275,0.0006517110495893,0.0,0.0001145603411716,-4.70333010249132e-05,-0.0136652471649915,0.0057653579618117,0.0172311073076774,0.0,-0.0052784368360638,0.0,0.0,0.0007891263488504,-0.0125149465499799,0.0,-0.0001969510012335,-0.0057888038853832,-0.2357763570660619,0.0,0.0,0.0,0.0047984120565652,-0.0022422589667139,0.0078635397484502,0.0,0.0,-0.0113934394522032,0.0,-0.1888389535874204,-0.0972661618593896,-0.0263686919334042,-0.0813276718160705,-0.0328619187358987,-0.0354215791898273,0.0,-0.007855908890958,0.0001232207936375,-0.0026142791031209,0.0,0.0,0.0012518681469031,0.0,0.0002335580288661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0153534346943437,0.0023126646058578,0.0,0.0003272906941806,-0.0169934691019372,-0.0226108738409495,-0.009359995500956,0.0,-0.0004219396956056,0.0,-0.0006913274455311,0.0005724302366188,0.0,0.0,-0.0121921114351216,0.0002759843454901,0.0147267399865363,-0.0248865351403964,-0.0091905581116723,-0.0128878638926516,-0.0155156671875572,-0.0006877908465829,-0.0377980044518525,-0.0015062804335563,-0.013784294936528,-0.005613871409388,0.000218115795121,feat_state_high_risk(-0.24→right) | feat_r3_score_numeric(-0.22→right) | feat_claims_n(-0.19→right),INACCURATE,RETAIN_R3_LOW_PWRONG,False,INACCURATE
